X,Y,ASCII,Foreground,Background
58,2,247,#1E90FF,#000000
59,2,247,#1E90FF,#000000
60,2,46,#228B22,#000000
61,2,46,#228B22,#000000
62,2,46,#228B22,#000000
63,2,247,#1E90FF,#000000
0,3,127,#BC8F8F,#000000
1,3,94,#A0522D,#000000
2,3,94,#A0522D,#000000
3,3,94,#A0522D,#000000
4,3,94,#A0522D,#000000
5,3,127,#BC8F8F,#000000
6,3,127,#BC8F8F,#000000
7,3,127,#BC8F8F,#000000
8,3,127,#BC8F8F,#000000
9,3,127,#BC8F8F,#000000
10,3,127,#BC8F8F,#000000
11,3,127,#BC8F8F,#000000
12,3,127,#BC8F8F,#000000
13,3,127,#BC8F8F,#000000
14,3,46,#228B22,#000000
15,3,127,#BC8F8F,#000000
16,3,127,#BC8F8F,#000000
17,3,127,#BC8F8F,#000000
18,3,127,#BC8F8F,#000000
19,3,46,#228B22,#000000
20,3,46,#228B22,#000000
21,3,127,#BC8F8F,#000000
22,3,127,#BC8F8F,#000000
23,3,127,#BC8F8F,#000000
24,3,46,#228B22,#000000
25,3,46,#228B22,#000000
26,3,46,#228B22,#000000
27,3,46,#228B22,#000000
28,3,46,#228B22,#000000
29,3,46,#228B22,#000000
30,3,46,#228B22,#000000
31,3,186,#D3D3D3,#000000
32,3,46,#228B22,#000000
33,3,46,#228B22,#000000
34,3,46,#228B22,#000000
35,3,46,#228B22,#000000
36,3,46,#228B22,#000000
37,3,127,#BC8F8F,#000000
38,3,46,#228B22,#000000
39,3,46,#228B22,#000000
40,3,127,#BC8F8F,#000000
41,3,127,#BC8F8F,#000000
42,3,127,#BC8F8F,#000000
43,3,127,#BC8F8F,#000000
44,3,127,#BC8F8F,#000000
45,3,127,#BC8F8F,#000000
46,3,127,#BC8F8F,#000000
47,3,127,#BC8F8F,#000000
48,3,46,#228B22,#000000
49,3,46,#228B22,#000000
50,3,46,#228B22,#000000
51,3,46,#228B22,#000000
52,3,46,#228B22,#000000
53,3,127,#BC8F8F,#000000
54,3,46,#228B22,#000000
55,3,46,#228B22,#000000
56,3,247,#1E90FF,#000000
57,3,247,#1E90FF,#000000
58,3,46,#228B22,#000000
59,3,46,#228B22,#000000
60,3,46,#228B22,#000000
61,3,46,#228B22,#000000
62,3,46,#228B22,#000000
63,3,247,#1E90FF,#000000
0,4,94,#A0522D,#000000
1,4,94,#A0522D,#000000
2,4,94,#A0522D,#000000
3,4,127,#BC8F8F,#000000
4,4,127,#BC8F8F,#000000
5,4,127,#BC8F8F,#000000
6,4,127,#BC8F8F,#000000
7,4,127,#BC8F8F,#000000
8,4,127,#BC8F8F,#000000
9,4,127,#BC8F8F,#000000
10,4,127,#BC8F8F,#000000
11,4,127,#BC8F8F,#000000
12,4,127,#BC8F8F,#000000
13,4,127,#BC8F8F,#000000
14,4,46,#228B22,#000000
15,4,46,#228B22,#000000
16,4,46,#228B22,#000000
17,4,46,#228B22,#000000
18,4,46,#228B22,#000000
19,4,46,#228B22,#000000
20,4,46,#228B22,#000000
21,4,46,#228B22,#000000
22,4,46,#228B22,#000000
23,4,46,#228B22,#000000
24,4,46,#228B22,#000000
25,4,46,#228B22,#000000
26,4,46,#228B22,#000000
27,4,46,#228B22,#000000
28,4,46,#228B22,#000000
29,4,46,#228B22,#000000
30,4,46,#228B22,#000000
31,4,234,#D3D3D3,#000000
32,4,205,#D3D3D3,#000000
33,4,205,#D3D3D3,#000000
34,4,205,#D3D3D3,#000000
35,4,205,#D3D3D3,#000000
36,4,205,#D3D3D3,#000000
37,4,205,#D3D3D3,#000000
38,4,205,#D3D3D3,#000000
39,4,205,#D3D3D3,#000000
40,4,205,#D3D3D3,#000000
41,4,205,#D3D3D3,#000000
42,4,205,#D3D3D3,#000000
43,4,205,#D3D3D3,#000000
44,4,205,#D3D3D3,#000000
45,4,205,#D3D3D3,#000000
46,4,205,#D3D3D3,#000000
47,4,205,#D3D3D3,#000000
48,4,205,#D3D3D3,#000000
49,4,205,#D3D3D3,#000000
50,4,205,#D3D3D3,#000000
51,4,187,#D3D3D3,#000000
52,4,46,#228B22,#000000
53,4,46,#228B22,#000000
54,4,46,#228B22,#000000
55,4,46,#228B22,#000000
56,4,46,#228B22,#000000
57,4,247,#1E90FF,#000000
58,4,46,#228B22,#000000
59,4,201,#D3D3D3,#000000
60,4,205,#D3D3D3,#000000
61,4,205,#D3D3D3,#000000
62,4,234,#D3D3D3,#000000
63,4,247,#1E90FF,#000000
0,5,127,#BC8F8F,#000000
1,5,127,#BC8F8F,#000000
2,5,127,#BC8F8F,#000000
3,5,127,#BC8F8F,#000000
4,5,46,#228B22,#000000
5,5,6,#008000,#000000
6,5,6,#008000,#000000
7,5,46,#228B22,#000000
8,5,127,#BC8F8F,#000000
9,5,127,#BC8F8F,#000000
10,5,127,#BC8F8F,#000000
11,5,127,#BC8F8F,#000000
12,5,127,#BC8F8F,#000000
13,5,127,#BC8F8F,#000000
14,5,127,#BC8F8F,#000000
15,5,46,#228B22,#000000
16,5,46,#228B22,#000000
17,5,46,#228B22,#000000
18,5,46,#228B22,#000000
19,5,46,#228B22,#000000
20,5,46,#228B22,#000000
21,5,46,#228B22,#000000
22,5,46,#228B22,#000000
23,5,46,#228B22,#000000
24,5,46,#228B22,#000000
25,5,46,#228B22,#000000
26,5,46,#228B22,#000000
27,5,46,#228B22,#000000
28,5,46,#228B22,#000000
29,5,46,#228B22,#000000
30,5,46,#228B22,#000000
31,5,186,#D3D3D3,#000000
32,5,46,#228B22,#000000
33,5,46,#228B22,#000000
34,5,46,#228B22,#000000
35,5,46,#228B22,#000000
36,5,46,#228B22,#000000
37,5,46,#228B22,#000000
38,5,46,#228B22,#000000
39,5,46,#228B22,#000000
40,5,46,#228B22,#000000
41,5,127,#BC8F8F,#000000
42,5,127,#BC8F8F,#000000
43,5,127,#BC8F8F,#000000
44,5,127,#BC8F8F,#000000
45,5,127,#BC8F8F,#000000
46,5,127,#BC8F8F,#000000
47,5,46,#228B22,#000000
48,5,46,#228B22,#000000
49,5,46,#228B22,#000000
50,5,46,#228B22,#000000
51,5,186,#D3D3D3,#000000
52,5,46,#228B22,#000000
53,5,46,#228B22,#000000
54,5,46,#228B22,#000000
55,5,46,#228B22,#000000
56,5,46,#228B22,#000000
57,5,46,#228B22,#000000
58,5,46,#228B22,#000000
59,5,186,#D3D3D3,#000000
60,5,46,#228B22,#000000
61,5,46,#228B22,#000000
62,5,46,#228B22,#000000
63,5,247,#1E90FF,#000000
0,6,46,#228B22,#000000
1,6,46,#228B22,#000000
2,6,46,#228B22,#000000
3,6,46,#228B22,#000000
4,6,46,#228B22,#000000
5,6,6,#008000,#000000
6,6,6,#008000,#000000
7,6,46,#228B22,#000000
8,6,127,#BC8F8F,#000000
9,6,127,#BC8F8F,#000000
10,6,234,#D3D3D3,#000000
11,6,127,#BC8F8F,#000000
12,6,127,#BC8F8F,#000000
13,6,46,#228B22,#000000
14,6,46,#228B22,#000000
15,6,46,#228B22,#000000
16,6,46,#228B22,#000000
17,6,46,#228B22,#000000
18,6,46,#228B22,#000000
19,6,6,#008000,#000000
20,6,6,#008000,#000000
21,6,6,#008000,#000000
22,6,46,#228B22,#000000
23,6,46,#228B22,#000000
24,6,46,#228B22,#000000
25,6,46,#228B22,#000000
26,6,46,#228B22,#000000
27,6,46,#228B22,#000000
28,6,46,#228B22,#000000
29,6,46,#228B22,#000000
30,6,46,#228B22,#000000
31,6,186,#D3D3D3,#000000
32,6,46,#228B22,#000000
33,6,46,#228B22,#000000
34,6,46,#228B22,#000000
35,6,46,#228B22,#000000
36,6,46,#228B22,#000000
37,6,127,#BC8F8F,#000000
38,6,46,#228B22,#000000
39,6,127,#BC8F8F,#000000
40,6,127,#BC8F8F,#000000
41,6,127,#BC8F8F,#000000
42,6,127,#BC8F8F,#000000
43,6,127,#BC8F8F,#000000
44,6,127,#BC8F8F,#000000
45,6,127,#BC8F8F,#000000
46,6,127,#BC8F8F,#000000
47,6,127,#BC8F8F,#000000
48,6,46,#228B22,#000000
49,6,46,#228B22,#000000
50,6,46,#228B22,#000000
51,6,186,#D3D3D3,#000000
52,6,46,#228B22,#000000
53,6,46,#228B22,#000000
54,6,46,#228B22,#000000
55,6,46,#228B22,#000000
56,6,46,#228B22,#000000
57,6,46,#228B22,#000000
58,6,46,#228B22,#000000
59,6,186,#D3D3D3,#000000
60,6,46,#228B22,#000000
61,6,46,#228B22,#000000
62,6,46,#228B22,#000000
63,6,247,#1E90FF,#000000
0,7,46,#228B22,#000000
1,7,46,#228B22,#000000
2,7,46,#228B22,#000000
3,7,46,#228B22,#000000
4,7,46,#228B22,#000000
5,7,6,#008000,#000000
6,7,6,#008000,#000000
7,7,46,#228B22,#000000
8,7,46,#228B22,#000000
9,7,127,#BC8F8F,#000000
10,7,186,#D3D3D3,#000000
11,7,46,#228B22,#000000
12,7,46,#228B22,#000000
13,7,46,#228B22,#000000
14,7,46,#228B22,#000000
15,7,46,#228B22,#000000
16,7,46,#228B22,#000000
17,7,6,#008000,#000000
18,7,6,#008000,#000000
19,7,6,#008000,#000000
20,7,6,#008000,#000000
21,7,6,#008000,#000000
22,7,6,#008000,#000000
23,7,6,#008000,#000000
24,7,6,#008000,#000000
25,7,6,#008000,#000000
26,7,46,#228B22,#000000
27,7,46,#228B22,#000000
28,7,46,#228B22,#000000
29,7,201,#D3D3D3,#000000
30,7,205,#D3D3D3,#000000
31,7,188,#D3D3D3,#000000
32,7,46,#228B22,#000000
33,7,46,#228B22,#000000
34,7,46,#228B22,#000000
35,7,127,#BC8F8F,#000000
36,7,127,#BC8F8F,#000000
37,7,94,#A0522D,#000000
38,7,127,#BC8F8F,#000000
39,7,94,#A0522D,#000000
40,7,127,#BC8F8F,#000000
41,7,46,#228B22,#000000
42,7,46,#228B22,#000000
43,7,46,#228B22,#000000
44,7,46,#228B22,#000000
45,7,127,#BC8F8F,#000000
46,7,46,#228B22,#000000
47,7,46,#228B22,#000000
48,7,46,#228B22,#000000
49,7,46,#228B22,#000000
50,7,46,#228B22,#000000
51,7,204,#D3D3D3,#000000
52,7,205,#D3D3D3,#000000
53,7,205,#D3D3D3,#000000
54,7,205,#D3D3D3,#000000
55,7,205,#D3D3D3,#000000
56,7,205,#D3D3D3,#000000
57,7,205,#D3D3D3,#000000
58,7,205,#D3D3D3,#000000
59,7,188,#D3D3D3,#000000
60,7,46,#228B22,#000000
61,7,46,#228B22,#000000
62,7,46,#228B22,#000000
63,7,247,#1E90FF,#000000
0,8,46,#228B22,#000000
1,8,46,#228B22,#000000
2,8,46,#228B22,#000000
3,8,46,#228B22,#000000
4,8,46,#228B22,#000000
5,8,6,#008000,#000000
6,8,6,#008000,#000000
7,8,46,#228B22,#000000
8,8,46,#228B22,#000000
9,8,46,#228B22,#000000
10,8,186,#D3D3D3,#000000
11,8,46,#228B22,#000000
12,8,46,#228B22,#000000
13,8,46,#228B22,#000000
14,8,46,#228B22,#000000
15,8,46,#228B22,#000000
16,8,46,#228B22,#000000
17,8,46,#228B22,#000000
18,8,6,#008000,#000000
19,8,6,#008000,#000000
20,8,6,#008000,#000000
21,8,6,#008000,#000000
22,8,6,#008000,#000000
23,8,46,#228B22,#000000
24,8,6,#008000,#000000
25,8,6,#008000,#000000
26,8,46,#228B22,#000000
27,8,46,#228B22,#000000
28,8,46,#228B22,#000000
29,8,186,#D3D3D3,#000000
30,8,46,#228B22,#000000
31,8,46,#228B22,#000000
32,8,46,#228B22,#000000
33,8,46,#228B22,#000000
34,8,127,#BC8F8F,#000000
35,8,94,#A0522D,#000000
36,8,94,#A0522D,#000000
37,8,94,#A0522D,#000000
38,8,94,#A0522D,#000000
39,8,94,#A0522D,#000000
40,8,127,#BC8F8F,#000000
41,8,46,#228B22,#000000
42,8,46,#228B22,#000000
43,8,46,#228B22,#000000
44,8,46,#228B22,#000000
45,8,46,#228B22,#000000
46,8,46,#228B22,#000000
47,8,46,#228B22,#000000
48,8,46,#228B22,#000000
49,8,46,#228B22,#000000
50,8,46,#228B22,#000000
51,8,186,#D3D3D3,#000000
52,8,46,#228B22,#000000
53,8,46,#228B22,#000000
54,8,46,#228B22,#000000
55,8,46,#228B22,#000000
56,8,46,#228B22,#000000
57,8,46,#228B22,#000000
58,8,46,#228B22,#000000
59,8,46,#228B22,#000000
60,8,46,#228B22,#000000
61,8,247,#1E90FF,#000000
62,8,247,#1E90FF,#000000
63,8,247,#1E90FF,#000000
0,9,46,#228B22,#000000
1,9,46,#228B22,#000000
2,9,46,#228B22,#000000
3,9,46,#228B22,#000000
4,9,6,#008000,#000000
5,9,6,#008000,#000000
6,9,6,#008000,#000000
7,9,46,#228B22,#000000
8,9,46,#228B22,#000000
9,9,46,#228B22,#000000
10,9,204,#D3D3D3,#000000
11,9,205,#D3D3D3,#000000
12,9,205,#D3D3D3,#000000
13,9,205,#D3D3D3,#000000
14,9,205,#D3D3D3,#000000
15,9,205,#D3D3D3,#000000
16,9,205,#D3D3D3,#000000
17,9,205,#D3D3D3,#000000
18,9,203,#D3D3D3,#000000
19,9,205,#D3D3D3,#000000
20,9,205,#D3D3D3,#000000
21,9,205,#D3D3D3,#000000
22,9,205,#D3D3D3,#000000
23,9,205,#D3D3D3,#000000
24,9,205,#D3D3D3,#000000
25,9,205,#D3D3D3,#000000
26,9,205,#D3D3D3,#000000
27,9,205,#D3D3D3,#000000
28,9,205,#D3D3D3,#000000
29,9,188,#D3D3D3,#000000
30,9,46,#228B22,#000000
31,9,127,#BC8F8F,#000000
32,9,127,#BC8F8F,#000000
33,9,127,#BC8F8F,#000000
34,9,94,#A0522D,#000000
35,9,94,#A0522D,#000000
36,9,94,#A0522D,#000000
37,9,94,#A0522D,#000000
38,9,94,#A0522D,#000000
39,9,127,#BC8F8F,#000000
40,9,46,#228B22,#000000
41,9,46,#228B22,#000000
42,9,46,#228B22,#000000
43,9,46,#228B22,#000000
44,9,46,#228B22,#000000
45,9,46,#228B22,#000000
46,9,46,#228B22,#000000
47,9,6,#008000,#000000
48,9,46,#228B22,#000000
49,9,46,#228B22,#000000
50,9,46,#228B22,#000000
51,9,186,#D3D3D3,#000000
52,9,46,#228B22,#000000
53,9,46,#228B22,#000000
54,9,46,#228B22,#000000
55,9,46,#228B22,#000000
56,9,46,#228B22,#000000
57,9,46,#228B22,#000000
58,9,46,#228B22,#000000
59,9,46,#228B22,#000000
60,9,247,#1E90FF,#000000
61,9,247,#1E90FF,#000000
62,9,247,#1E90FF,#000000
63,9,247,#1E90FF,#000000
0,10,46,#228B22,#000000
1,10,46,#228B22,#000000
2,10,46,#228B22,#000000
3,10,46,#228B22,#000000
4,10,6,#008000,#000000
5,10,6,#008000,#000000
6,10,6,#008000,#000000
7,10,46,#228B22,#000000
8,10,46,#228B22,#000000
9,10,46,#228B22,#000000
10,10,186,#D3D3D3,#000000
11,10,46,#228B22,#000000
12,10,46,#228B22,#000000
13,10,46,#228B22,#000000
14,10,46,#228B22,#000000
15,10,46,#228B22,#000000
16,10,6,#008000,#000000
17,10,6,#008000,#000000
18,10,186,#D3D3D3,#000000
19,10,6,#008000,#000000
20,10,6,#008000,#000000
21,10,6,#008000,#000000
22,10,46,#228B22,#000000
23,10,46,#228B22,#000000
24,10,46,#228B22,#000000
25,10,46,#228B22,#000000
26,10,46,#228B22,#000000
27,10,46,#228B22,#000000
28,10,127,#BC8F8F,#000000
29,10,127,#BC8F8F,#000000
30,10,127,#BC8F8F,#000000
31,10,94,#A0522D,#000000
32,10,94,#A0522D,#000000
33,10,94,#A0522D,#000000
34,10,94,#A0522D,#000000
35,10,94,#A0522D,#000000
36,10,94,#A0522D,#000000
37,10,94,#A0522D,#000000
38,10,127,#BC8F8F,#000000
39,10,46,#228B22,#000000
40,10,46,#228B22,#000000
41,10,46,#228B22,#000000
42,10,46,#228B22,#000000
43,10,46,#228B22,#000000
44,10,46,#228B22,#000000
45,10,46,#228B22,#000000
46,10,46,#228B22,#000000
47,10,6,#008000,#000000
48,10,46,#228B22,#000000
49,10,46,#228B22,#000000
50,10,46,#228B22,#000000
51,10,186,#D3D3D3,#000000
52,10,46,#228B22,#000000
53,10,46,#228B22,#000000
54,10,46,#228B22,#000000
55,10,46,#228B22,#000000
56,10,46,#228B22,#000000
57,10,46,#228B22,#000000
58,10,46,#228B22,#000000
59,10,46,#228B22,#000000
60,10,247,#1E90FF,#000000
61,10,247,#1E90FF,#000000
62,10,247,#1E90FF,#000000
63,10,247,#1E90FF,#000000
0,11,46,#228B22,#000000
1,11,46,#228B22,#000000
2,11,46,#228B22,#000000
3,11,6,#008000,#000000
4,11,6,#008000,#000000
5,11,6,#008000,#000000
6,11,46,#228B22,#000000
7,11,46,#228B22,#000000
8,11,46,#228B22,#000000
9,11,46,#228B22,#000000
10,11,186,#D3D3D3,#000000
11,11,46,#228B22,#000000
12,11,46,#228B22,#000000
13,11,46,#228B22,#000000
14,11,46,#228B22,#000000
15,11,6,#008000,#000000
16,11,6,#008000,#000000
17,11,46,#228B22,#000000
18,11,186,#D3D3D3,#000000
19,11,6,#008000,#000000
20,11,6,#008000,#000000
21,11,46,#228B22,#000000
22,11,46,#228B22,#000000
23,11,46,#228B22,#000000
24,11,127,#BC8F8F,#000000
25,11,127,#BC8F8F,#000000
26,11,127,#BC8F8F,#000000
27,11,127,#BC8F8F,#000000
28,11,94,#A0522D,#000000
29,11,94,#A0522D,#000000
30,11,94,#A0522D,#000000
31,11,94,#A0522D,#000000
32,11,94,#A0522D,#000000
33,11,94,#A0522D,#000000
34,11,94,#A0522D,#000000
35,11,94,#A0522D,#000000
36,11,127,#BC8F8F,#000000
37,11,127,#BC8F8F,#000000
38,11,46,#228B22,#000000
39,11,46,#228B22,#000000
40,11,46,#228B22,#000000
41,11,46,#228B22,#000000
42,11,46,#228B22,#000000
43,11,46,#228B22,#000000
44,11,46,#228B22,#000000
45,11,46,#228B22,#000000
46,11,6,#008000,#000000
47,11,6,#008000,#000000
48,11,6,#008000,#000000
49,11,46,#228B22,#000000
50,11,46,#228B22,#000000
51,11,186,#D3D3D3,#000000
52,11,46,#228B22,#000000
53,11,46,#228B22,#000000
54,11,46,#228B22,#000000
55,11,46,#228B22,#000000
56,11,46,#228B22,#000000
57,11,6,#008000,#000000
58,11,46,#228B22,#000000
59,11,46,#228B22,#000000
60,11,46,#228B22,#000000
61,11,247,#1E90FF,#000000
62,11,247,#1E90FF,#000000
63,11,247,#1E90FF,#000000
0,12,46,#228B22,#000000
1,12,46,#228B22,#000000
2,12,46,#228B22,#000000
3,12,6,#008000,#000000
4,12,6,#008000,#000000
5,12,46,#228B22,#000000
6,12,46,#228B22,#000000
7,12,46,#228B22,#000000
8,12,46,#228B22,#000000
9,12,46,#228B22,#000000
10,12,186,#D3D3D3,#000000
11,12,46,#228B22,#000000
12,12,46,#228B22,#000000
13,12,46,#228B22,#000000
14,12,6,#008000,#000000
15,12,6,#008000,#000000
16,12,6,#008000,#000000
17,12,46,#228B22,#000000
18,12,186,#D3D3D3,#000000
19,12,46,#228B22,#000000
20,12,46,#228B22,#000000
21,12,46,#228B22,#000000
22,12,46,#228B22,#000000
23,12,127,#BC8F8F,#000000
24,12,94,#A0522D,#000000
25,12,94,#A0522D,#000000
26,12,94,#A0522D,#000000
27,12,94,#A0522D,#000000
28,12,94,#A0522D,#000000
29,12,94,#A0522D,#000000
30,12,94,#A0522D,#000000
31,12,94,#A0522D,#000000
32,12,94,#A0522D,#000000
33,12,94,#A0522D,#000000
34,12,127,#BC8F8F,#000000
35,12,127,#BC8F8F,#000000
36,12,46,#228B22,#000000
37,12,46,#228B22,#000000
38,12,46,#228B22,#000000
39,12,46,#228B22,#000000
40,12,46,#228B22,#000000
41,12,46,#228B22,#000000
42,12,127,#BC8F8F,#000000
43,12,46,#228B22,#000000
44,12,46,#228B22,#000000
45,12,46,#228B22,#000000
46,12,6,#008000,#000000
47,12,6,#008000,#000000
48,12,6,#008000,#000000
49,12,6,#008000,#000000
50,12,46,#228B22,#000000
51,12,186,#D3D3D3,#000000
52,12,46,#228B22,#000000
53,12,46,#228B22,#000000
54,12,46,#228B22,#000000
55,12,46,#228B22,#000000
56,12,46,#228B22,#000000
57,12,6,#008000,#000000
58,12,6,#008000,#000000
59,12,46,#228B22,#000000
60,12,46,#228B22,#000000
61,12,247,#1E90FF,#000000
62,12,247,#1E90FF,#000000
63,12,247,#1E90FF,#000000
0,13,46,#228B22,#000000
1,13,46,#228B22,#000000
2,13,46,#228B22,#000000
3,13,6,#008000,#000000
4,13,6,#008000,#000000
5,13,46,#228B22,#000000
6,13,46,#228B22,#000000
7,13,46,#228B22,#000000
8,13,46,#228B22,#000000
9,13,46,#228B22,#000000
10,13,186,#D3D3D3,#000000
11,13,46,#228B22,#000000
12,13,46,#228B22,#000000
13,13,6,#008000,#000000
14,13,6,#008000,#000000
15,13,6,#008000,#000000
16,13,6,#008000,#000000
17,13,46,#228B22,#000000
18,13,186,#D3D3D3,#000000
19,13,46,#228B22,#000000
20,13,46,#228B22,#000000
21,13,46,#228B22,#000000
22,13,127,#BC8F8F,#000000
23,13,94,#A0522D,#000000
24,13,94,#A0522D,#000000
25,13,94,#A0522D,#000000
26,13,94,#A0522D,#000000
27,13,94,#A0522D,#000000
28,13,30,#FFFFFF,#000000
29,13,94,#A0522D,#000000
30,13,94,#A0522D,#000000
31,13,94,#A0522D,#000000
32,13,94,#A0522D,#000000
33,13,127,#BC8F8F,#000000
34,13,46,#228B22,#000000
35,13,46,#228B22,#000000
36,13,46,#228B22,#000000
37,13,46,#228B22,#000000
38,13,46,#228B22,#000000
39,13,46,#228B22,#000000
40,13,46,#228B22,#000000
